"Complete Payment","Selesaikan Pembayaran",""
"optional","Opsional",""
"Payment Method","Metode Pembayaran",""
"Refund Amount","Pengembalian Dana",""
"Enter amount...","Masukkan jumlah...",""
"Total Amount","Jumlah Total",""
"Remaining","Sisa",""
"Change Due","Kembalian",""
"On Account","Bayar Tempo",""
"Paid in Full","Lunas",""
"Fully Paid","Lunas",""
"Paid Amount","Jumlah yang Dibayar",""
"Paid: {0}","Dibayar: {0}",""
"Customer Credit Available","Kredit Pelanggan Tersedia",""
"Outstanding Balance","Sisa Tagihan",""
"Credit can be applied to invoice","Kredit ini bisa dipakai untuk membayar faktur.",""
"Amount owed by customer","Jumlah yang harus dibayar oleh pelanggan",""
"No outstanding balance","Tidak ada hutang",""
"Save","Simpan",""
"Cancel","Batal",""
"Submit","Kirim",""
"Delete","Hapus",""
"Edit","Ubah",""
"Search","Cari",""
"Close","Tutup",""
"Confirm","Konfirmasi",""
"Yes","Ya",""
"No","Tidak",""
"Loading...","Memuat...",""
"Error","Terjadi Kesalahan",""
"Success","Sukses",""
"Warning","Peringatan",""
"Information","Informasi",""
"Add Item","Tambah Item",""
"Select Customer","Pilih Pelanggan",""
"Create Customer","Buat Pelanggan Baru",""
"Discount","Diskon",""
"Tax","pajak",""
"Total","Total",""
"Checkout","Bayar",""
"Clear Cart","Kosongkan Keranjang",""
"Hold Invoice","Tunda Faktur",""
"Print Receipt","Cetak Struk",""
"No stock available","Stok tidak tersedia",""
"Item added to cart","Ditambahkan ke keranjang",""
"Item removed from cart","Dihapus dari keranjang",""
"Open Shift","Buka Shift",""
"Close Shift","Tutup Shift",""
"Shift Opening","Pembukaan Shift",""
"Shift Closing","Penutupan Shift",""
"Opening Amount","Jumlah Pembukaan Shift",""
"Closing Amount","Jumlah Penutupan Shift",""
"Cash in Hand","Kas di Tangan",""
"Expected Amount","Jumlah yang Diharapkan",""
"Difference","Selisih",""
"Draft Invoices","Draf Faktur",""
"Invoice History","Riwayat Faktur",""
"Offline Invoices","Faktur Offline",""
"Return Invoice","Faktur Pengembalian",""
"Invoice Number","Nomor Faktur",""
"Date","Tanggal",""
"Customer","Pelanggan",""
"Amount","Jumlah",""
"Paid","Dibayar",""
"Unpaid","Belum Dibayar",""
"Partially Paid","Dibayar Sebagian",""
"Credit Note Issued","Nota Kredit",""
"Cancelled","Dibatalkan",""
"Draft","Draf",""
"Settings","Pengaturan",""
"General","Umum",""
"Appearance","Tampilan",""
"Language","Bahasa",""
"Select Language","Pilih Bahasa",""
"Theme","Tema",""
"Notifications","Notifikasi",""
